status,event_id,grid_lat,grid_lon,rain_start_utc,rain_end_utc,rain_start_jst,rain_end_jst,hit_hours,max_gauge_mm_h,mean_gauge_mm_h,sum_gauge_mm,elapsed_after_rain_h,after_stac_id,after_product_identifier,after_acquisition_utc,after_acquisition_jst,after_platform,after_orbit_direction,after_relative_orbit,after_product_type,after_path,before_stac_id,before_product_identifier,before_acquisition_utc,before_acquisition_jst,before_path,downloaded_or_existing,aoi_min_lon,aoi_min_lat,aoi_max_lon,aoi_max_lat,truth_geometry,note
no_after_scene,lat37.25_lon136.95_20250806T1400_20250806T1600,37.25,136.95,2025-08-06T14:00:00+00:00,2025-08-06T16:00:00+00:00,2025-08-06T23:00:00+09:00,2025-08-07T01:00:00+09:00,2,29.9742,23.792,47.584,,,,,,,,,,,,,,,,False,136.8083665806731,37.304472260080004,136.98469129625474,37.472173959447765,"{'type': 'MultiPolygon', 'coordinates': [(((136.8896657648002, 37.384676053668564), (136.88959783360403, 37.38465057947), (136.88943649701307, 37.38447226008), (136.88927516042213, 37.38453594557643), (136.88957235940546, 37.3849053214557), (136.88979738149283, 37.38486286445808), (136.8896657648002, 37.384676053668564)),), (((136.88936007441737, 37.384879847257125), (136.8891138238312, 37.38498174405141), (136.88899494423785, 37.38485437305856), (136.88853640866358, 37.384901075755934), (136.88868500815525, 37.385147326342114), (136.8883665806731, 37.385342628531156), (136.88903740123547, 37.38541055972734), (136.88980162719258, 37.38542329682663), (136.88936007441737, 37.384879847257125)),), (((136.8906974698423, 37.38547424522377), (136.8907993666366, 37.38529592583377), (136.89031960256352, 37.38516430914116), (136.89042149935779, 37.38488833865665), (136.8903450767621, 37.38486711015784), (136.89026865416636, 37.38502844674879), (136.88999268368187, 37.38489683005618), (136.88960632500354, 37.38494353275355), (136.88992899818544, 37.38530866293306), (136.8900308949797, 37.38527469733497), (136.8906974698423, 37.38547424522377)),), (((136.9033963578296, 37.38639131637231), (136.90340484922913, 37.38697722293943), (136.90409265259052, 37.386960240140375), (136.9041266181886, 37.38640829917136), (136.9033963578296, 37.38639131637231)),), (((136.9045639252619, 37.38704276592909), (136.9045724166614, 37.387598952597756), (136.90468280485518, 37.38755224990039), (136.90469129625473, 37.38705550302837), (136.9045639252619, 37.38704276592909)),), (((136.89998281522116, 37.39042473114594), (136.89996583242214, 37.390781369925925), (136.90002527221878, 37.39084930112211), (136.90015264321164, 37.38998317837072), (136.90005074641735, 37.389957704172154), (136.89998281522116, 37.39042473114594)),), (((136.89960919364214, 37.39186826906493), (136.89981298723072, 37.39186826906493), (136.89989790122593, 37.391197448502574), (136.89926104626167, 37.39118895710305), (136.8990487612736, 37.39153710448351), (136.89921009786454, 37.39183430346683), (136.8993459602569, 37.391885251863975), (136.8995242796469, 37.39217395944777), (136.89969410763737, 37.392097536852056), (136.89960919364214, 37.39186826906493)),)]}",
no_after_scene,lat37.45_lon136.75_20200807T1800_20200807T2100,37.45,136.75,2020-08-07T18:00:00+00:00,2020-08-07T21:00:00+00:00,2020-08-08T03:00:00+09:00,2020-08-08T06:00:00+09:00,3,29.9219,19.107633333333336,57.322900000000004,,,,,,,,,,,,,,,,False,136.8083665806731,37.304472260080004,136.98469129625474,37.472173959447765,"{'type': 'MultiPolygon', 'coordinates': [(((136.8896657648002, 37.384676053668564), (136.88959783360403, 37.38465057947), (136.88943649701307, 37.38447226008), (136.88927516042213, 37.38453594557643), (136.88957235940546, 37.3849053214557), (136.88979738149283, 37.38486286445808), (136.8896657648002, 37.384676053668564)),), (((136.88936007441737, 37.384879847257125), (136.8891138238312, 37.38498174405141), (136.88899494423785, 37.38485437305856), (136.88853640866358, 37.384901075755934), (136.88868500815525, 37.385147326342114), (136.8883665806731, 37.385342628531156), (136.88903740123547, 37.38541055972734), (136.88980162719258, 37.38542329682663), (136.88936007441737, 37.384879847257125)),), (((136.8906974698423, 37.38547424522377), (136.8907993666366, 37.38529592583377), (136.89031960256352, 37.38516430914116), (136.89042149935779, 37.38488833865665), (136.8903450767621, 37.38486711015784), (136.89026865416636, 37.38502844674879), (136.88999268368187, 37.38489683005618), (136.88960632500354, 37.38494353275355), (136.88992899818544, 37.38530866293306), (136.8900308949797, 37.38527469733497), (136.8906974698423, 37.38547424522377)),), (((136.9033963578296, 37.38639131637231), (136.90340484922913, 37.38697722293943), (136.90409265259052, 37.386960240140375), (136.9041266181886, 37.38640829917136), (136.9033963578296, 37.38639131637231)),), (((136.9045639252619, 37.38704276592909), (136.9045724166614, 37.387598952597756), (136.90468280485518, 37.38755224990039), (136.90469129625473, 37.38705550302837), (136.9045639252619, 37.38704276592909)),), (((136.89998281522116, 37.39042473114594), (136.89996583242214, 37.390781369925925), (136.90002527221878, 37.39084930112211), (136.90015264321164, 37.38998317837072), (136.90005074641735, 37.389957704172154), (136.89998281522116, 37.39042473114594)),), (((136.89960919364214, 37.39186826906493), (136.89981298723072, 37.39186826906493), (136.89989790122593, 37.391197448502574), (136.89926104626167, 37.39118895710305), (136.8990487612736, 37.39153710448351), (136.89921009786454, 37.39183430346683), (136.8993459602569, 37.391885251863975), (136.8995242796469, 37.39217395944777), (136.89969410763737, 37.392097536852056), (136.89960919364214, 37.39186826906493)),)]}",
no_after_scene,lat37.55_lon136.95_20240921T1600_20240921T2200,37.55,136.95,2024-09-21T16:00:00+00:00,2024-09-21T22:00:00+00:00,2024-09-22T01:00:00+09:00,2024-09-22T07:00:00+09:00,6,29.8434,20.30633333333333,121.838,,,,,,,,,,,,,,,,False,136.8083665806731,37.304472260080004,136.98469129625474,37.472173959447765,"{'type': 'MultiPolygon', 'coordinates': [(((136.8896657648002, 37.384676053668564), (136.88959783360403, 37.38465057947), (136.88943649701307, 37.38447226008), (136.88927516042213, 37.38453594557643), (136.88957235940546, 37.3849053214557), (136.88979738149283, 37.38486286445808), (136.8896657648002, 37.384676053668564)),), (((136.88936007441737, 37.384879847257125), (136.8891138238312, 37.38498174405141), (136.88899494423785, 37.38485437305856), (136.88853640866358, 37.384901075755934), (136.88868500815525, 37.385147326342114), (136.8883665806731, 37.385342628531156), (136.88903740123547, 37.38541055972734), (136.88980162719258, 37.38542329682663), (136.88936007441737, 37.384879847257125)),), (((136.8906974698423, 37.38547424522377), (136.8907993666366, 37.38529592583377), (136.89031960256352, 37.38516430914116), (136.89042149935779, 37.38488833865665), (136.8903450767621, 37.38486711015784), (136.89026865416636, 37.38502844674879), (136.88999268368187, 37.38489683005618), (136.88960632500354, 37.38494353275355), (136.88992899818544, 37.38530866293306), (136.8900308949797, 37.38527469733497), (136.8906974698423, 37.38547424522377)),), (((136.9033963578296, 37.38639131637231), (136.90340484922913, 37.38697722293943), (136.90409265259052, 37.386960240140375), (136.9041266181886, 37.38640829917136), (136.9033963578296, 37.38639131637231)),), (((136.9045639252619, 37.38704276592909), (136.9045724166614, 37.387598952597756), (136.90468280485518, 37.38755224990039), (136.90469129625473, 37.38705550302837), (136.9045639252619, 37.38704276592909)),), (((136.89998281522116, 37.39042473114594), (136.89996583242214, 37.390781369925925), (136.90002527221878, 37.39084930112211), (136.90015264321164, 37.38998317837072), (136.90005074641735, 37.389957704172154), (136.89998281522116, 37.39042473114594)),), (((136.89960919364214, 37.39186826906493), (136.89981298723072, 37.39186826906493), (136.89989790122593, 37.391197448502574), (136.89926104626167, 37.39118895710305), (136.8990487612736, 37.39153710448351), (136.89921009786454, 37.39183430346683), (136.8993459602569, 37.391885251863975), (136.8995242796469, 37.39217395944777), (136.89969410763737, 37.392097536852056), (136.89960919364214, 37.39186826906493)),)]}",
no_after_scene,lat37.55_lon136.85_20180815T2300_20180816T0200,37.55,136.85,2018-08-15T23:00:00+00:00,2018-08-16T02:00:00+00:00,2018-08-16T08:00:00+09:00,2018-08-16T11:00:00+09:00,3,29.8159,19.399966666666668,58.1999,,,,,,,,,,,,,,,,False,136.8083665806731,37.304472260080004,136.98469129625474,37.472173959447765,"{'type': 'MultiPolygon', 'coordinates': [(((136.8896657648002, 37.384676053668564), (136.88959783360403, 37.38465057947), (136.88943649701307, 37.38447226008), (136.88927516042213, 37.38453594557643), (136.88957235940546, 37.3849053214557), (136.88979738149283, 37.38486286445808), (136.8896657648002, 37.384676053668564)),), (((136.88936007441737, 37.384879847257125), (136.8891138238312, 37.38498174405141), (136.88899494423785, 37.38485437305856), (136.88853640866358, 37.384901075755934), (136.88868500815525, 37.385147326342114), (136.8883665806731, 37.385342628531156), (136.88903740123547, 37.38541055972734), (136.88980162719258, 37.38542329682663), (136.88936007441737, 37.384879847257125)),), (((136.8906974698423, 37.38547424522377), (136.8907993666366, 37.38529592583377), (136.89031960256352, 37.38516430914116), (136.89042149935779, 37.38488833865665), (136.8903450767621, 37.38486711015784), (136.89026865416636, 37.38502844674879), (136.88999268368187, 37.38489683005618), (136.88960632500354, 37.38494353275355), (136.88992899818544, 37.38530866293306), (136.8900308949797, 37.38527469733497), (136.8906974698423, 37.38547424522377)),), (((136.9033963578296, 37.38639131637231), (136.90340484922913, 37.38697722293943), (136.90409265259052, 37.386960240140375), (136.9041266181886, 37.38640829917136), (136.9033963578296, 37.38639131637231)),), (((136.9045639252619, 37.38704276592909), (136.9045724166614, 37.387598952597756), (136.90468280485518, 37.38755224990039), (136.90469129625473, 37.38705550302837), (136.9045639252619, 37.38704276592909)),), (((136.89998281522116, 37.39042473114594), (136.89996583242214, 37.390781369925925), (136.90002527221878, 37.39084930112211), (136.90015264321164, 37.38998317837072), (136.90005074641735, 37.389957704172154), (136.89998281522116, 37.39042473114594)),), (((136.89960919364214, 37.39186826906493), (136.89981298723072, 37.39186826906493), (136.89989790122593, 37.391197448502574), (136.89926104626167, 37.39118895710305), (136.8990487612736, 37.39153710448351), (136.89921009786454, 37.39183430346683), (136.8993459602569, 37.391885251863975), (136.8995242796469, 37.39217395944777), (136.89969410763737, 37.392097536852056), (136.89960919364214, 37.39186826906493)),)]}",
no_after_scene,lat37.35_lon136.85_20220919T1200_20220919T1800,37.35,136.85,2022-09-19T12:00:00+00:00,2022-09-19T18:00:00+00:00,2022-09-19T21:00:00+09:00,2022-09-20T03:00:00+09:00,6,29.7671,19.3245,115.947,,,,,,,,,,,,,,,,False,136.8083665806731,37.304472260080004,136.98469129625474,37.472173959447765,"{'type': 'MultiPolygon', 'coordinates': [(((136.8896657648002, 37.384676053668564), (136.88959783360403, 37.38465057947), (136.88943649701307, 37.38447226008), (136.88927516042213, 37.38453594557643), (136.88957235940546, 37.3849053214557), (136.88979738149283, 37.38486286445808), (136.8896657648002, 37.384676053668564)),), (((136.88936007441737, 37.384879847257125), (136.8891138238312, 37.38498174405141), (136.88899494423785, 37.38485437305856), (136.88853640866358, 37.384901075755934), (136.88868500815525, 37.385147326342114), (136.8883665806731, 37.385342628531156), (136.88903740123547, 37.38541055972734), (136.88980162719258, 37.38542329682663), (136.88936007441737, 37.384879847257125)),), (((136.8906974698423, 37.38547424522377), (136.8907993666366, 37.38529592583377), (136.89031960256352, 37.38516430914116), (136.89042149935779, 37.38488833865665), (136.8903450767621, 37.38486711015784), (136.89026865416636, 37.38502844674879), (136.88999268368187, 37.38489683005618), (136.88960632500354, 37.38494353275355), (136.88992899818544, 37.38530866293306), (136.8900308949797, 37.38527469733497), (136.8906974698423, 37.38547424522377)),), (((136.9033963578296, 37.38639131637231), (136.90340484922913, 37.38697722293943), (136.90409265259052, 37.386960240140375), (136.9041266181886, 37.38640829917136), (136.9033963578296, 37.38639131637231)),), (((136.9045639252619, 37.38704276592909), (136.9045724166614, 37.387598952597756), (136.90468280485518, 37.38755224990039), (136.90469129625473, 37.38705550302837), (136.9045639252619, 37.38704276592909)),), (((136.89998281522116, 37.39042473114594), (136.89996583242214, 37.390781369925925), (136.90002527221878, 37.39084930112211), (136.90015264321164, 37.38998317837072), (136.90005074641735, 37.389957704172154), (136.89998281522116, 37.39042473114594)),), (((136.89960919364214, 37.39186826906493), (136.89981298723072, 37.39186826906493), (136.89989790122593, 37.391197448502574), (136.89926104626167, 37.39118895710305), (136.8990487612736, 37.39153710448351), (136.89921009786454, 37.39183430346683), (136.8993459602569, 37.391885251863975), (136.8995242796469, 37.39217395944777), (136.89969410763737, 37.392097536852056), (136.89960919364214, 37.39186826906493)),)]}",
no_after_scene,lat37.55_lon137.05_20220919T1300_20220919T1600,37.55,137.05,2022-09-19T13:00:00+00:00,2022-09-19T16:00:00+00:00,2022-09-19T22:00:00+09:00,2022-09-20T01:00:00+09:00,3,29.6639,23.091233333333335,69.2737,,,,,,,,,,,,,,,,False,136.8083665806731,37.304472260080004,136.98469129625474,37.472173959447765,"{'type': 'MultiPolygon', 'coordinates': [(((136.8896657648002, 37.384676053668564), (136.88959783360403, 37.38465057947), (136.88943649701307, 37.38447226008), (136.88927516042213, 37.38453594557643), (136.88957235940546, 37.3849053214557), (136.88979738149283, 37.38486286445808), (136.8896657648002, 37.384676053668564)),), (((136.88936007441737, 37.384879847257125), (136.8891138238312, 37.38498174405141), (136.88899494423785, 37.38485437305856), (136.88853640866358, 37.384901075755934), (136.88868500815525, 37.385147326342114), (136.8883665806731, 37.385342628531156), (136.88903740123547, 37.38541055972734), (136.88980162719258, 37.38542329682663), (136.88936007441737, 37.384879847257125)),), (((136.8906974698423, 37.38547424522377), (136.8907993666366, 37.38529592583377), (136.89031960256352, 37.38516430914116), (136.89042149935779, 37.38488833865665), (136.8903450767621, 37.38486711015784), (136.89026865416636, 37.38502844674879), (136.88999268368187, 37.38489683005618), (136.88960632500354, 37.38494353275355), (136.88992899818544, 37.38530866293306), (136.8900308949797, 37.38527469733497), (136.8906974698423, 37.38547424522377)),), (((136.9033963578296, 37.38639131637231), (136.90340484922913, 37.38697722293943), (136.90409265259052, 37.386960240140375), (136.9041266181886, 37.38640829917136), (136.9033963578296, 37.38639131637231)),), (((136.9045639252619, 37.38704276592909), (136.9045724166614, 37.387598952597756), (136.90468280485518, 37.38755224990039), (136.90469129625473, 37.38705550302837), (136.9045639252619, 37.38704276592909)),), (((136.89998281522116, 37.39042473114594), (136.89996583242214, 37.390781369925925), (136.90002527221878, 37.39084930112211), (136.90015264321164, 37.38998317837072), (136.90005074641735, 37.389957704172154), (136.89998281522116, 37.39042473114594)),), (((136.89960919364214, 37.39186826906493), (136.89981298723072, 37.39186826906493), (136.89989790122593, 37.391197448502574), (136.89926104626167, 37.39118895710305), (136.8990487612736, 37.39153710448351), (136.89921009786454, 37.39183430346683), (136.8993459602569, 37.391885251863975), (136.8995242796469, 37.39217395944777), (136.89969410763737, 37.392097536852056), (136.89960919364214, 37.39186826906493)),)]}",
no_after_scene,lat37.45_lon137.05_20220919T1300_20220919T1900,37.45,137.05,2022-09-19T13:00:00+00:00,2022-09-19T19:00:00+00:00,2022-09-19T22:00:00+09:00,2022-09-20T04:00:00+09:00,6,29.6499,22.017799999999998,132.1068,,,,,,,,,,,,,,,,False,136.8083665806731,37.304472260080004,136.98469129625474,37.472173959447765,"{'type': 'MultiPolygon', 'coordinates': [(((136.8896657648002, 37.384676053668564), (136.88959783360403, 37.38465057947), (136.88943649701307, 37.38447226008), (136.88927516042213, 37.38453594557643), (136.88957235940546, 37.3849053214557), (136.88979738149283, 37.38486286445808), (136.8896657648002, 37.384676053668564)),), (((136.88936007441737, 37.384879847257125), (136.8891138238312, 37.38498174405141), (136.88899494423785, 37.38485437305856), (136.88853640866358, 37.384901075755934), (136.88868500815525, 37.385147326342114), (136.8883665806731, 37.385342628531156), (136.88903740123547, 37.38541055972734), (136.88980162719258, 37.38542329682663), (136.88936007441737, 37.384879847257125)),), (((136.8906974698423, 37.38547424522377), (136.8907993666366, 37.38529592583377), (136.89031960256352, 37.38516430914116), (136.89042149935779, 37.38488833865665), (136.8903450767621, 37.38486711015784), (136.89026865416636, 37.38502844674879), (136.88999268368187, 37.38489683005618), (136.88960632500354, 37.38494353275355), (136.88992899818544, 37.38530866293306), (136.8900308949797, 37.38527469733497), (136.8906974698423, 37.38547424522377)),), (((136.9033963578296, 37.38639131637231), (136.90340484922913, 37.38697722293943), (136.90409265259052, 37.386960240140375), (136.9041266181886, 37.38640829917136), (136.9033963578296, 37.38639131637231)),), (((136.9045639252619, 37.38704276592909), (136.9045724166614, 37.387598952597756), (136.90468280485518, 37.38755224990039), (136.90469129625473, 37.38705550302837), (136.9045639252619, 37.38704276592909)),), (((136.89998281522116, 37.39042473114594), (136.89996583242214, 37.390781369925925), (136.90002527221878, 37.39084930112211), (136.90015264321164, 37.38998317837072), (136.90005074641735, 37.389957704172154), (136.89998281522116, 37.39042473114594)),), (((136.89960919364214, 37.39186826906493), (136.89981298723072, 37.39186826906493), (136.89989790122593, 37.391197448502574), (136.89926104626167, 37.39118895710305), (136.8990487612736, 37.39153710448351), (136.89921009786454, 37.39183430346683), (136.8993459602569, 37.391885251863975), (136.8995242796469, 37.39217395944777), (136.89969410763737, 37.392097536852056), (136.89960919364214, 37.39186826906493)),)]}",
no_after_scene,lat37.55_lon136.95_20180830T2100_20180831T0100,37.55,136.95,2018-08-30T21:00:00+00:00,2018-08-31T01:00:00+00:00,2018-08-31T06:00:00+09:00,2018-08-31T10:00:00+09:00,4,29.6485,20.53545,82.1418,,,,,,,,,,,,,,,,False,136.8083665806731,37.304472260080004,136.98469129625474,37.472173959447765,"{'type': 'MultiPolygon', 'coordinates': [(((136.8896657648002, 37.384676053668564), (136.88959783360403, 37.38465057947), (136.88943649701307, 37.38447226008), (136.88927516042213, 37.38453594557643), (136.88957235940546, 37.3849053214557), (136.88979738149283, 37.38486286445808), (136.8896657648002, 37.384676053668564)),), (((136.88936007441737, 37.384879847257125), (136.8891138238312, 37.38498174405141), (136.88899494423785, 37.38485437305856), (136.88853640866358, 37.384901075755934), (136.88868500815525, 37.385147326342114), (136.8883665806731, 37.385342628531156), (136.88903740123547, 37.38541055972734), (136.88980162719258, 37.38542329682663), (136.88936007441737, 37.384879847257125)),), (((136.8906974698423, 37.38547424522377), (136.8907993666366, 37.38529592583377), (136.89031960256352, 37.38516430914116), (136.89042149935779, 37.38488833865665), (136.8903450767621, 37.38486711015784), (136.89026865416636, 37.38502844674879), (136.88999268368187, 37.38489683005618), (136.88960632500354, 37.38494353275355), (136.88992899818544, 37.38530866293306), (136.8900308949797, 37.38527469733497), (136.8906974698423, 37.38547424522377)),), (((136.9033963578296, 37.38639131637231), (136.90340484922913, 37.38697722293943), (136.90409265259052, 37.386960240140375), (136.9041266181886, 37.38640829917136), (136.9033963578296, 37.38639131637231)),), (((136.9045639252619, 37.38704276592909), (136.9045724166614, 37.387598952597756), (136.90468280485518, 37.38755224990039), (136.90469129625473, 37.38705550302837), (136.9045639252619, 37.38704276592909)),), (((136.89998281522116, 37.39042473114594), (136.89996583242214, 37.390781369925925), (136.90002527221878, 37.39084930112211), (136.90015264321164, 37.38998317837072), (136.90005074641735, 37.389957704172154), (136.89998281522116, 37.39042473114594)),), (((136.89960919364214, 37.39186826906493), (136.89981298723072, 37.39186826906493), (136.89989790122593, 37.391197448502574), (136.89926104626167, 37.39118895710305), (136.8990487612736, 37.39153710448351), (136.89921009786454, 37.39183430346683), (136.8993459602569, 37.391885251863975), (136.8995242796469, 37.39217395944777), (136.89969410763737, 37.392097536852056), (136.89960919364214, 37.39186826906493)),)]}",
no_after_scene,lat37.35_lon136.95_20240920T1800_20240920T2000,37.35,136.95,2024-09-20T18:00:00+00:00,2024-09-20T20:00:00+00:00,2024-09-21T03:00:00+09:00,2024-09-21T05:00:00+09:00,2,29.5792,21.2281,42.4562,,,,,,,,,,,,,,,,False,136.8083665806731,37.304472260080004,136.98469129625474,37.472173959447765,"{'type': 'MultiPolygon', 'coordinates': [(((136.8896657648002, 37.384676053668564), (136.88959783360403, 37.38465057947), (136.88943649701307, 37.38447226008), (136.88927516042213, 37.38453594557643), (136.88957235940546, 37.3849053214557), (136.88979738149283, 37.38486286445808), (136.8896657648002, 37.384676053668564)),), (((136.88936007441737, 37.384879847257125), (136.8891138238312, 37.38498174405141), (136.88899494423785, 37.38485437305856), (136.88853640866358, 37.384901075755934), (136.88868500815525, 37.385147326342114), (136.8883665806731, 37.385342628531156), (136.88903740123547, 37.38541055972734), (136.88980162719258, 37.38542329682663), (136.88936007441737, 37.384879847257125)),), (((136.8906974698423, 37.38547424522377), (136.8907993666366, 37.38529592583377), (136.89031960256352, 37.38516430914116), (136.89042149935779, 37.38488833865665), (136.8903450767621, 37.38486711015784), (136.89026865416636, 37.38502844674879), (136.88999268368187, 37.38489683005618), (136.88960632500354, 37.38494353275355), (136.88992899818544, 37.38530866293306), (136.8900308949797, 37.38527469733497), (136.8906974698423, 37.38547424522377)),), (((136.9033963578296, 37.38639131637231), (136.90340484922913, 37.38697722293943), (136.90409265259052, 37.386960240140375), (136.9041266181886, 37.38640829917136), (136.9033963578296, 37.38639131637231)),), (((136.9045639252619, 37.38704276592909), (136.9045724166614, 37.387598952597756), (136.90468280485518, 37.38755224990039), (136.90469129625473, 37.38705550302837), (136.9045639252619, 37.38704276592909)),), (((136.89998281522116, 37.39042473114594), (136.89996583242214, 37.390781369925925), (136.90002527221878, 37.39084930112211), (136.90015264321164, 37.38998317837072), (136.90005074641735, 37.389957704172154), (136.89998281522116, 37.39042473114594)),), (((136.89960919364214, 37.39186826906493), (136.89981298723072, 37.39186826906493), (136.89989790122593, 37.391197448502574), (136.89926104626167, 37.39118895710305), (136.8990487612736, 37.39153710448351), (136.89921009786454, 37.39183430346683), (136.8993459602569, 37.391885251863975), (136.8995242796469, 37.39217395944777), (136.89969410763737, 37.392097536852056), (136.89960919364214, 37.39186826906493)),)]}",
no_after_scene,lat37.55_lon136.85_20220716T1500_20220716T1600,37.55,136.85,2022-07-16T15:00:00+00:00,2022-07-16T16:00:00+00:00,2022-07-17T00:00:00+09:00,2022-07-17T01:00:00+09:00,1,29.3758,29.3758,29.3758,,,,,,,,,,,,,,,,False,136.8083665806731,37.304472260080004,136.98469129625474,37.472173959447765,"{'type': 'MultiPolygon', 'coordinates': [(((136.8896657648002, 37.384676053668564), (136.88959783360403, 37.38465057947), (136.88943649701307, 37.38447226008), (136.88927516042213, 37.38453594557643), (136.88957235940546, 37.3849053214557), (136.88979738149283, 37.38486286445808), (136.8896657648002, 37.384676053668564)),), (((136.88936007441737, 37.384879847257125), (136.8891138238312, 37.38498174405141), (136.88899494423785, 37.38485437305856), (136.88853640866358, 37.384901075755934), (136.88868500815525, 37.385147326342114), (136.8883665806731, 37.385342628531156), (136.88903740123547, 37.38541055972734), (136.88980162719258, 37.38542329682663), (136.88936007441737, 37.384879847257125)),), (((136.8906974698423, 37.38547424522377), (136.8907993666366, 37.38529592583377), (136.89031960256352, 37.38516430914116), (136.89042149935779, 37.38488833865665), (136.8903450767621, 37.38486711015784), (136.89026865416636, 37.38502844674879), (136.88999268368187, 37.38489683005618), (136.88960632500354, 37.38494353275355), (136.88992899818544, 37.38530866293306), (136.8900308949797, 37.38527469733497), (136.8906974698423, 37.38547424522377)),), (((136.9033963578296, 37.38639131637231), (136.90340484922913, 37.38697722293943), (136.90409265259052, 37.386960240140375), (136.9041266181886, 37.38640829917136), (136.9033963578296, 37.38639131637231)),), (((136.9045639252619, 37.38704276592909), (136.9045724166614, 37.387598952597756), (136.90468280485518, 37.38755224990039), (136.90469129625473, 37.38705550302837), (136.9045639252619, 37.38704276592909)),), (((136.89998281522116, 37.39042473114594), (136.89996583242214, 37.390781369925925), (136.90002527221878, 37.39084930112211), (136.90015264321164, 37.38998317837072), (136.90005074641735, 37.389957704172154), (136.89998281522116, 37.39042473114594)),), (((136.89960919364214, 37.39186826906493), (136.89981298723072, 37.39186826906493), (136.89989790122593, 37.391197448502574), (136.89926104626167, 37.39118895710305), (136.8990487612736, 37.39153710448351), (136.89921009786454, 37.39183430346683), (136.8993459602569, 37.391885251863975), (136.8995242796469, 37.39217395944777), (136.89969410763737, 37.392097536852056), (136.89960919364214, 37.39186826906493)),)]}",
