scene_stem,zip_path,pol,status,output_path
S1A_IW_GRDH_1SSV_20160815T205043_20160815T205112_012616_013C93_58FD,D:\shuron\downloads\S1A_IW_GRDH_1SSV_20160815T205043_20160815T205112_012616_013C93_58FD.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SSV_20160815T205043_20160815T205112_012616_013C93_58FD__VV_proc.tif
S1A_IW_GRDH_1SSV_20160815T205043_20160815T205112_012616_013C93_58FD,D:\shuron\downloads\S1A_IW_GRDH_1SSV_20160815T205043_20160815T205112_012616_013C93_58FD.zip,VH,skipped_unavailable_pol,
S1A_IW_GRDH_1SSV_20160827T085020_20160827T085049_012784_014245_0684,D:\shuron\downloads\S1A_IW_GRDH_1SSV_20160827T085020_20160827T085049_012784_014245_0684.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SSV_20160827T085020_20160827T085049_012784_014245_0684__VV_proc.tif
S1A_IW_GRDH_1SSV_20160827T085020_20160827T085049_012784_014245_0684,D:\shuron\downloads\S1A_IW_GRDH_1SSV_20160827T085020_20160827T085049_012784_014245_0684.zip,VH,skipped_unavailable_pol,
S1A_IW_GRDH_1SSV_20160908T205044_20160908T205113_012966_014837_9430,D:\shuron\downloads\S1A_IW_GRDH_1SSV_20160908T205044_20160908T205113_012966_014837_9430.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SSV_20160908T205044_20160908T205113_012966_014837_9430__VV_proc.tif
S1A_IW_GRDH_1SSV_20160908T205044_20160908T205113_012966_014837_9430,D:\shuron\downloads\S1A_IW_GRDH_1SSV_20160908T205044_20160908T205113_012966_014837_9430.zip,VH,skipped_unavailable_pol,
S1A_IW_GRDH_1SSV_20160920T085021_20160920T085049_013134_014DC5_29D8,D:\shuron\downloads\S1A_IW_GRDH_1SSV_20160920T085021_20160920T085049_013134_014DC5_29D8.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1A_IW_GRDH_1SSV_20160920T085021_20160920T085049_013134_014DC5_29D8__VV_proc.tif
S1A_IW_GRDH_1SSV_20160920T085021_20160920T085049_013134_014DC5_29D8,D:\shuron\downloads\S1A_IW_GRDH_1SSV_20160920T085021_20160920T085049_013134_014DC5_29D8.zip,VH,skipped_unavailable_pol,
S1B_IW_GRDH_1SDV_20170711T084941_20170711T085010_006438_00B517_D30F,D:\shuron\downloads\S1B_IW_GRDH_1SDV_20170711T084941_20170711T085010_006438_00B517_D30F.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1B_IW_GRDH_1SDV_20170711T084941_20170711T085010_006438_00B517_D30F__VV_proc.tif
S1B_IW_GRDH_1SDV_20170711T084941_20170711T085010_006438_00B517_D30F,D:\shuron\downloads\S1B_IW_GRDH_1SDV_20170711T084941_20170711T085010_006438_00B517_D30F.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1B_IW_GRDH_1SDV_20170711T084941_20170711T085010_006438_00B517_D30F__VH_proc.tif
S1B_IW_GRDH_1SDV_20170723T084942_20170723T085010_006613_00BA16_6C49,D:\shuron\downloads\S1B_IW_GRDH_1SDV_20170723T084942_20170723T085010_006613_00BA16_6C49.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1B_IW_GRDH_1SDV_20170723T084942_20170723T085010_006613_00BA16_6C49__VV_proc.tif
S1B_IW_GRDH_1SDV_20170723T084942_20170723T085010_006613_00BA16_6C49,D:\shuron\downloads\S1B_IW_GRDH_1SDV_20170723T084942_20170723T085010_006613_00BA16_6C49.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1B_IW_GRDH_1SDV_20170723T084942_20170723T085010_006613_00BA16_6C49__VH_proc.tif
S1B_IW_GRDH_1SDV_20200905T085004_20200905T085029_023238_02C216_4B8B,D:\shuron\downloads\S1B_IW_GRDH_1SDV_20200905T085004_20200905T085029_023238_02C216_4B8B.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1B_IW_GRDH_1SDV_20200905T085004_20200905T085029_023238_02C216_4B8B__VV_proc.tif
S1B_IW_GRDH_1SDV_20200905T085004_20200905T085029_023238_02C216_4B8B,D:\shuron\downloads\S1B_IW_GRDH_1SDV_20200905T085004_20200905T085029_023238_02C216_4B8B.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1B_IW_GRDH_1SDV_20200905T085004_20200905T085029_023238_02C216_4B8B__VH_proc.tif
S1B_IW_GRDH_1SDV_20200917T085004_20200917T085029_023413_02C79D_9116,D:\shuron\downloads\S1B_IW_GRDH_1SDV_20200917T085004_20200917T085029_023413_02C79D_9116.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1B_IW_GRDH_1SDV_20200917T085004_20200917T085029_023413_02C79D_9116__VV_proc.tif
S1B_IW_GRDH_1SDV_20200917T085004_20200917T085029_023413_02C79D_9116,D:\shuron\downloads\S1B_IW_GRDH_1SDV_20200917T085004_20200917T085029_023413_02C79D_9116.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1B_IW_GRDH_1SDV_20200917T085004_20200917T085029_023413_02C79D_9116__VH_proc.tif
S1C_IW_GRDH_1SDV_20250611T084959_20250611T085024_002733_005A1B_F576,D:\shuron\downloads\S1C_IW_GRDH_1SDV_20250611T084959_20250611T085024_002733_005A1B_F576.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1C_IW_GRDH_1SDV_20250611T084959_20250611T085024_002733_005A1B_F576__VV_proc.tif
S1C_IW_GRDH_1SDV_20250611T084959_20250611T085024_002733_005A1B_F576,D:\shuron\downloads\S1C_IW_GRDH_1SDV_20250611T084959_20250611T085024_002733_005A1B_F576.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1C_IW_GRDH_1SDV_20250611T084959_20250611T085024_002733_005A1B_F576__VH_proc.tif
S1C_IW_GRDH_1SDV_20250623T085000_20250623T085025_002908_005F25_2980,D:\shuron\downloads\S1C_IW_GRDH_1SDV_20250623T085000_20250623T085025_002908_005F25_2980.zip,,skipped_invalid_zip,
S1C_IW_GRDH_1SDV_20250729T085002_20250729T085027_003433_006E66_0873,D:\shuron\downloads\S1C_IW_GRDH_1SDV_20250729T085002_20250729T085027_003433_006E66_0873.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1C_IW_GRDH_1SDV_20250729T085002_20250729T085027_003433_006E66_0873__VV_proc.tif
S1C_IW_GRDH_1SDV_20250729T085002_20250729T085027_003433_006E66_0873,D:\shuron\downloads\S1C_IW_GRDH_1SDV_20250729T085002_20250729T085027_003433_006E66_0873.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1C_IW_GRDH_1SDV_20250729T085002_20250729T085027_003433_006E66_0873__VH_proc.tif
S1C_IW_GRDH_1SDV_20250810T085002_20250810T085027_003608_007394_F514,D:\shuron\downloads\S1C_IW_GRDH_1SDV_20250810T085002_20250810T085027_003608_007394_F514.zip,VV,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VV\S1C_IW_GRDH_1SDV_20250810T085002_20250810T085027_003608_007394_F514__VV_proc.tif
S1C_IW_GRDH_1SDV_20250810T085002_20250810T085027_003608_007394_F514,D:\shuron\downloads\S1C_IW_GRDH_1SDV_20250810T085002_20250810T085027_003608_007394_F514.zip,VH,planned,D:\sotsuron\rainsar-hub\shuron_sar_flood_detection\preprocess_plan\VH\S1C_IW_GRDH_1SDV_20250810T085002_20250810T085027_003608_007394_F514__VH_proc.tif
